Cluster,BALANCE,BALANCE_FREQUENCY,PURCHASES,ONEOFF_PURCHASES,INSTALLMENTS_PURCHASES,CASH_ADVANCE,PURCHASES_FREQUENCY,ONEOFF_PURCHASES_FREQUENCY,PURCHASES_INSTALLMENTS_FREQUENCY,CASH_ADVANCE_FREQUENCY,CASH_ADVANCE_TRX,PURCHASES_TRX,CREDIT_LIMIT,PAYMENTS,MINIMUM_PAYMENTS,PRC_FULL_PAYMENT,TENURE,PURCHASES_CREDIT_RATIO,PAYMENT_CREDIT_RATIO,BALANCE_CREDIT_RATIO,CASH_ADVANCE_CREDIT_RATIO,PURCHASE_PAYMENT_RATIO
1,1132.583860954275,0.1269890992012143,336.56035095430167,295.1382482622976,94.49492151809383,429.3937179626318,0.1734137877921275,0.11889883985202337,0.1356163337132706,0.12560017747052582,2.2489793707355643,3.2808804500768347,2679.656663884536,727.6781461785292,426.49332083944336,0.0656077910912208,0.0,0.13831797272101737,0.27102933512680183,0.38448829145695623,0.1830803736304984,0.822393956812007
2,1794.7431037249646,0.05590592387704556,490.35012250520816,404.9009091380752,376.36319203750946,895.7617525794547,0.12087350335287811,0.22438648640912234,0.2775105571045511,0.1550784206912183,3.1478101684341087,8.440339067397998,3640.981244694565,1203.4332758747448,603.2560445826186,0.16245838964733705,0.0,0.2468743285280942,0.3858336481944651,0.29608262134980134,0.1977670340701308,0.6047146171380416
3,1693.8537860770884,0.09620687658213155,486.40319737501835,326.38227534046587,245.3164500122186,740.8220725385281,0.32136057848461824,0.1607848960048704,0.277545784506486,0.1596098999295679,3.1349246611572203,7.729898156508879,3559.6463943790773,1379.8535286726146,574.8772934153792,0.08247788567110279,0.0,0.13295074816157915,0.42156233890798134,0.26051990875029063,0.251412000478104,0.38527783798173604
4,873.9125003976136,0.11334292256127702,690.7844494780211,481.06112585699924,371.43112062256097,286.5647969058286,0.2392887292564353,0.26282137284040835,0.3604916114252397,0.06821969372568328,1.1848334003593848,9.655398689235748,2873.0098463928744,900.0585695158578,417.7746846353852,0.16211570309805912,0.0,0.25189733394480435,0.33493388468753776,0.3319270198809856,0.13769003817734704,0.6287575469582551
