Cluster,BALANCE,BALANCE_FREQUENCY,PURCHASES,ONEOFF_PURCHASES,INSTALLMENTS_PURCHASES,CASH_ADVANCE,PURCHASES_FREQUENCY,ONEOFF_PURCHASES_FREQUENCY,PURCHASES_INSTALLMENTS_FREQUENCY,CASH_ADVANCE_FREQUENCY,CASH_ADVANCE_TRX,PURCHASES_TRX,CREDIT_LIMIT,PAYMENTS,MINIMUM_PAYMENTS,PRC_FULL_PAYMENT,TENURE,PURCHASES_CREDIT_RATIO,PAYMENT_CREDIT_RATIO,BALANCE_CREDIT_RATIO,CASH_ADVANCE_CREDIT_RATIO,PURCHASE_PAYMENT_RATIO
1,0.21270530438795904,0.0,0.0,0.0045676664562675495,0.0,0.08914486581825345,0.0,0.0,0.0,0.2287062074190242,0.18004465135551234,0.0,0.0,0.0,0.14694612708497856,0.0,0.0,0.03434866361211561,0.0,0.5091465778325861,0.12393834585904884,0.37257351236079417
2,0.7364551936640769,1.0,1.0000000000000002,1.0000000000000002,0.9999999999999999,0.19262251954932025,1.0000000000000002,1.0000000000000002,1.0,0.19659181533731773,0.2020047628645044,0.9999999999999999,1.0,1.0,0.6901402381397096,0.9676149573059963,0.0,1.0000000000000002,0.9999999999999999,0.2642606021875453,0.08815852125689588,1.0
3,0.9999999999999998,0.5340094703389546,0.03359973175528247,0.0,0.0825122630703818,0.9999999999999999,0.08564967122891731,0.005634184070503034,0.10346050350844925,1.0,0.9999999999999999,0.061458186627162195,0.47506594386730205,0.556408497164436,0.9999999999999999,0.12835289342934578,0.0,0.0,0.7629353950899586,1.0,1.0,0.0
4,0.0,0.2515662424499556,0.30145492963308673,0.1701217613884655,0.4713940585721741,0.0,0.8040483602275919,0.22736602360551822,0.7654748838364444,0.0,0.0,0.3950850833994535,0.06951433201313617,0.1582116965684897,0.0,1.0,0.0,0.5527095644724347,0.35488027518009535,0.0,0.0,0.8630307815925286
