Iteration,Quantization_Error
500,0.8286813532072105
1000,0.8278276862136654
1500,0.8297986846356796
2000,0.8401718292250417
2500,0.8242342966294913
3000,0.8226982700352663
3500,0.8377282027325703
4000,0.8360735161023295
4500,0.816403615469154
5000,0.8423647670160186
5500,0.8407652753457128
6000,0.8262879596642894
6500,0.8356904339321357
7000,0.8327905926765319
7500,0.8236256815188671
8000,0.8305312516164184
8500,0.8269507792660036
9000,0.8258406615797197
9500,0.8284604621838284
10000,0.8355090256388542
