Cluster,BALANCE,BALANCE_FREQUENCY,PURCHASES,ONEOFF_PURCHASES,INSTALLMENTS_PURCHASES,CASH_ADVANCE,PURCHASES_FREQUENCY,ONEOFF_PURCHASES_FREQUENCY,PURCHASES_INSTALLMENTS_FREQUENCY,CASH_ADVANCE_FREQUENCY,CASH_ADVANCE_TRX,PURCHASES_TRX,CREDIT_LIMIT,PAYMENTS,MINIMUM_PAYMENTS,PRC_FULL_PAYMENT,TENURE,PURCHASES_CREDIT_RATIO,PAYMENT_CREDIT_RATIO,BALANCE_CREDIT_RATIO,CASH_ADVANCE_CREDIT_RATIO,PURCHASE_PAYMENT_RATIO
1,1043.4618013041015,0.90543915,208.80593164062503,164.500806640625,38.744313964843755,269.05618424018553,0.151760792578125,0.08273532109375001,0.067637148046875,0.095884121875,1.543359375,2.458203125,3356.9140625,645.8113038938965,443.4618041744141,0.020908254296875,12.0,0.08358451320540586,0.258427181879624,0.4194057323606592,0.11372233524407363,0.5676262828416971
2,2083.783868698741,0.9825719761690648,2418.970629496403,1206.8248403776977,864.9605373201439,482.72372038275637,0.9400480440647482,0.5775783651079137,0.7742482239208633,0.08581231924460432,1.683453237410072,35.33273381294964,7433.318345323741,2899.5764831695146,728.474090636241,0.14796365737410075,12.0,0.5290202427957025,0.5850447890893861,0.33690400580965935,0.09241031813297268,1.2076705938679224
3,2607.2617412333652,0.946628809648289,283.0668726235741,159.71797172053232,106.91728433935361,2149.8503971552996,0.21927733650190112,0.08552335788973384,0.14074348574144488,0.3377793702471483,6.774239543726236,4.47861216730038,5293.474910704373,1899.825400256179,891.0565586951045,0.037761991920152095,12.0,0.06774015876817593,0.5076153150795407,0.5847735314173815,0.6355426954899954,0.18756015282725794
4,620.9662045746692,0.9248431652488973,875.070975110271,337.8536365784499,428.2177327504726,84.98394108081287,0.7855818645242596,0.19524581632010082,0.6085301792690612,0.024156661625708883,0.39477000630119724,15.446439823566477,3640.2825832359795,1002.3833165740784,366.3596213361689,0.15221606647763075,12.0,0.32269407311083814,0.37433732820488863,0.2478749959512871,0.03989927498483864,1.0679468640692815
